locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIEECKCC_00082	CDS	573	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
AIEECKCC_00083	CDS	1137	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
AIEECKCC_00084	CDS	966	wbpB	1.1.1.335	COG0673	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
AIEECKCC_00085	CDS	486				hypothetical protein
AIEECKCC_00086	CDS	603				hypothetical protein
AIEECKCC_00087	CDS	357				hypothetical protein
AIEECKCC_00088	CDS	2586	cdr	1.8.1.14		Coenzyme A disulfide reductase
AIEECKCC_00089	CDS	1215				hypothetical protein
AIEECKCC_00090	CDS	399				hypothetical protein
AIEECKCC_00091	CDS	861	sigA			RNA polymerase sigma factor SigA
AIEECKCC_00092	CDS	1530	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
AIEECKCC_00093	CDS	1335				hypothetical protein
AIEECKCC_00094	CDS	1173		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
AIEECKCC_00095	CDS	1272				hypothetical protein
AIEECKCC_00096	CDS	1320				hypothetical protein
AIEECKCC_00097	CDS	90				hypothetical protein
AIEECKCC_00098	CDS	603	ribE	2.5.1.9	COG0307	Riboflavin synthase
AIEECKCC_00099	CDS	696	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
AIEECKCC_00100	CDS	756	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
AIEECKCC_00101	CDS	861	pstA		COG0581	Phosphate transport system permease protein PstA
AIEECKCC_00102	CDS	1185				hypothetical protein
AIEECKCC_00103	CDS	819	pstS		COG0226	Phosphate-binding protein PstS
AIEECKCC_00104	CDS	1740	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
AIEECKCC_00105	CDS	1413	lapB			Lipopolysaccharide assembly protein B
AIEECKCC_00106	CDS	639				hypothetical protein
AIEECKCC_00107	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
AIEECKCC_00108	CDS	600				hypothetical protein
AIEECKCC_00109	CDS	594	pinR	3.1.22.-	COG1961	Serine recombinase PinR
AIEECKCC_00110	CDS	1242	epsN_1	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
AIEECKCC_00111	CDS	639	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
AIEECKCC_00112	CDS	609	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
AIEECKCC_00113	CDS	1203				hypothetical protein
AIEECKCC_00114	CDS	1185	wbpI_2	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
AIEECKCC_00115	CDS	1149	wbjC_1	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
AIEECKCC_00116	CDS	1074	capD_1	5.1.3.2	COG1086	UDP-glucose 4-epimerase
AIEECKCC_00117	CDS	1026				hypothetical protein
AIEECKCC_00118	CDS	1197				hypothetical protein
AIEECKCC_00119	CDS	1173				hypothetical protein
AIEECKCC_00120	CDS	690				hypothetical protein
AIEECKCC_00121	CDS	1167				hypothetical protein
AIEECKCC_00122	CDS	1014	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AIEECKCC_00123	CDS	1314	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
AIEECKCC_00124	CDS	939				hypothetical protein
AIEECKCC_00125	CDS	1518				hypothetical protein
AIEECKCC_00126	CDS	483				hypothetical protein
AIEECKCC_00127	CDS	534				hypothetical protein
AIEECKCC_00128	CDS	465				hypothetical protein
AIEECKCC_00129	CDS	666			COG0325	Pyridoxal phosphate homeostasis protein
AIEECKCC_00130	CDS	978	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
AIEECKCC_00131	CDS	1905	pglF_1	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
AIEECKCC_00132	CDS	1326				hypothetical protein
AIEECKCC_00133	CDS	1254	fpgS	6.3.2.17		Folylpolyglutamate synthase
AIEECKCC_00134	CDS	375	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
AIEECKCC_00135	CDS	1704				hypothetical protein
AIEECKCC_00136	CDS	741		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
AIEECKCC_00137	CDS	1671	recN		COG0497	DNA repair protein RecN
AIEECKCC_00138	CDS	1230	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
AIEECKCC_00139	CDS	771	dinG_1	3.1.-.-		3'-5' exonuclease DinG
AIEECKCC_00140	CDS	1125	dnaN		COG0592	Beta sliding clamp
AIEECKCC_00141	CDS	369				hypothetical protein
AIEECKCC_00142	CDS	1635				hypothetical protein
AIEECKCC_00143	CDS	768	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
AIEECKCC_00144	CDS	987	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
AIEECKCC_00145	CDS	849				hypothetical protein
AIEECKCC_00146	CDS	957				putative epimerase/dehydratase
AIEECKCC_00147	CDS	1188	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
AIEECKCC_00148	CDS	483	ftnA_1	1.16.3.2		Bacterial non-heme ferritin
AIEECKCC_00149	CDS	1161	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
AIEECKCC_00150	CDS	1320	lysC_1	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
AIEECKCC_00151	CDS	708	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AIEECKCC_00152	CDS	606	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
AIEECKCC_00153	CDS	756	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
AIEECKCC_00154	CDS	723	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
AIEECKCC_00155	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
AIEECKCC_00156	CDS	858	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
AIEECKCC_00157	tRNA	75				tRNA-Asp(gtc)
AIEECKCC_00158	CDS	783				IS21 family transposase ISGur9
AIEECKCC_00159	CDS	1581				IS21 family transposase ISPpu7
AIEECKCC_00160	CDS	606				hypothetical protein
AIEECKCC_00161	CDS	846				hypothetical protein
AIEECKCC_00162	CDS	180				hypothetical protein
AIEECKCC_00163	CDS	294				hypothetical protein
AIEECKCC_00164	CDS	783	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
AIEECKCC_00165	CDS	900				hypothetical protein
AIEECKCC_00166	CDS	1311				hypothetical protein
AIEECKCC_00167	CDS	975				hypothetical protein
AIEECKCC_00168	CDS	1224				hypothetical protein
AIEECKCC_00169	CDS	609				hypothetical protein
AIEECKCC_00170	CDS	945				hypothetical protein
AIEECKCC_00171	CDS	1005				hypothetical protein
AIEECKCC_00172	CDS	726				hypothetical protein
AIEECKCC_00173	CDS	576				hypothetical protein
AIEECKCC_00174	CDS	834	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
AIEECKCC_00175	CDS	111				hypothetical protein
AIEECKCC_00176	CDS	1059			COG2220	putative protein
AIEECKCC_00177	CDS	876	RBKS	2.7.1.15		Ribokinase
AIEECKCC_00178	CDS	1650	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
AIEECKCC_00179	CDS	639				hypothetical protein
AIEECKCC_00180	CDS	690				hypothetical protein
AIEECKCC_00181	CDS	1281				hypothetical protein
AIEECKCC_00182	CDS	792	ccsA_1			Cytochrome c biogenesis protein CcsA
AIEECKCC_00183	CDS	1245				hypothetical protein
AIEECKCC_00184	CDS	1482	nrfA	1.7.2.2	COG3303	Cytochrome c-552
AIEECKCC_00185	CDS	591	nrfH		COG3005	Cytochrome c-type protein NrfH
AIEECKCC_00186	CDS	129				hypothetical protein
AIEECKCC_00187	CDS	1194				hypothetical protein
AIEECKCC_00188	CDS	1404				hypothetical protein
AIEECKCC_00189	CDS	2391	btuB_2			Vitamin B12 transporter BtuB
AIEECKCC_00190	CDS	1281	eno_1	4.2.1.11	COG0148	Enolase
AIEECKCC_00191	CDS	456	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
AIEECKCC_00192	CDS	657	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
AIEECKCC_00193	CDS	681				queuosine precursor transporter
AIEECKCC_00194	CDS	90				hypothetical protein
AIEECKCC_00195	CDS	3234	susC_1			TonB-dependent receptor SusC
AIEECKCC_00196	CDS	1791				SusD-like protein P38
AIEECKCC_00197	CDS	390				hypothetical protein
AIEECKCC_00198	CDS	591				hypothetical protein
AIEECKCC_00199	CDS	1128				hypothetical protein
AIEECKCC_00200	CDS	1260				hypothetical protein
AIEECKCC_00201	CDS	1326				hypothetical protein
AIEECKCC_00202	CDS	1002	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
AIEECKCC_00203	CDS	705	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
AIEECKCC_00204	CDS	735				hypothetical protein
AIEECKCC_00205	CDS	1146				hypothetical protein
AIEECKCC_00206	CDS	378				hypothetical protein
AIEECKCC_00207	CDS	186				hypothetical protein
AIEECKCC_00208	CDS	738				hypothetical protein
AIEECKCC_00209	CDS	537	resA_1			Thiol-disulfide oxidoreductase ResA
AIEECKCC_00210	tRNA	73				tRNA-Cys(gca)
AIEECKCC_00211	CDS	219				hypothetical protein
AIEECKCC_00212	CDS	2535	der_1			GTPase Der
AIEECKCC_00213	CDS	1269	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
AIEECKCC_00214	CDS	849				hypothetical protein
AIEECKCC_00215	CDS	2046	rho	3.6.4.-		Transcription termination factor Rho
AIEECKCC_00216	CDS	1467		3.1.6.-	COG3119	Delta 4,5-hexuronate-2-O-sulfatase
AIEECKCC_00217	CDS	1323	ffh		COG0541	Signal recognition particle protein
AIEECKCC_00218	CDS	882	folD		COG0190	Bifunctional protein FolD protein
AIEECKCC_00219	CDS	1146				hypothetical protein
AIEECKCC_00220	tRNA	75				tRNA-His(gtg)
AIEECKCC_00221	CDS	1695				hypothetical protein
AIEECKCC_00222	CDS	1503	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
AIEECKCC_00223	CDS	1002	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
AIEECKCC_00224	CDS	1914				hypothetical protein
AIEECKCC_00225	CDS	633	rhaS_1			HTH-type transcriptional activator RhaS
AIEECKCC_00226	CDS	876				hypothetical protein
AIEECKCC_00227	CDS	291				hypothetical protein
AIEECKCC_00228	CDS	156				hypothetical protein
AIEECKCC_00229	CDS	120				hypothetical protein
AIEECKCC_00230	CDS	228				hypothetical protein
AIEECKCC_00231	CDS	681				hypothetical protein
AIEECKCC_00232	CDS	330				hypothetical protein
AIEECKCC_00233	CDS	717				hypothetical protein
AIEECKCC_00234	CDS	177				hypothetical protein
AIEECKCC_00235	CDS	1035				hypothetical protein
AIEECKCC_00236	CDS	204				hypothetical protein
AIEECKCC_00237	CDS	630				hypothetical protein
AIEECKCC_00238	CDS	1296	zraR_1		COG2204	Transcriptional regulatory protein ZraR
AIEECKCC_00239	CDS	2367	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_00240	CDS	828	uxuB_1	1.-.-.-	COG1028	putative oxidoreductase UxuB
AIEECKCC_00241	CDS	1188	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
AIEECKCC_00242	CDS	2343				hypothetical protein
AIEECKCC_00243	CDS	2394		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
AIEECKCC_00244	CDS	1527				hypothetical protein
AIEECKCC_00245	CDS	2940				hypothetical protein
AIEECKCC_00246	CDS	1962				hypothetical protein
AIEECKCC_00247	CDS	3282				TonB-dependent receptor P39
AIEECKCC_00248	CDS	798				hypothetical protein
AIEECKCC_00249	CDS	4068	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_00250	CDS	1416				hypothetical protein
AIEECKCC_00251	CDS	2337		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
AIEECKCC_00252	CDS	1995				hypothetical protein
AIEECKCC_00253	CDS	1644				hypothetical protein
AIEECKCC_00254	CDS	2046				hypothetical protein
AIEECKCC_00255	CDS	3291				TonB-dependent receptor P3
AIEECKCC_00256	CDS	336				hypothetical protein
AIEECKCC_00257	CDS	2115				hypothetical protein
AIEECKCC_00258	CDS	4071	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_00259	CDS	1581				IS21 family transposase ISPpu7
AIEECKCC_00260	CDS	783				IS21 family transposase ISGur9
AIEECKCC_00261	CDS	759				hypothetical protein
AIEECKCC_00262	CDS	660				hypothetical protein
AIEECKCC_00263	tRNA	86				tRNA-Ser(tga)
AIEECKCC_00264	CDS	2229	pflB	2.3.1.54		Formate acetyltransferase
AIEECKCC_00265	CDS	726	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
AIEECKCC_00266	CDS	2205		3.2.1.-		Beta-xylosidase
AIEECKCC_00267	CDS	261	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
AIEECKCC_00268	CDS	2175	nagZ_1	3.2.1.52		Beta-hexosaminidase
AIEECKCC_00269	CDS	1314				hypothetical protein
AIEECKCC_00270	CDS	549	algU_1		COG1595	RNA polymerase sigma-H factor
AIEECKCC_00271	CDS	705				hypothetical protein
AIEECKCC_00272	CDS	2523				hypothetical protein
AIEECKCC_00273	tRNA	89				tRNA-Ser(gga)
AIEECKCC_00274	CDS	957				hypothetical protein
AIEECKCC_00275	CDS	750	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
AIEECKCC_00276	CDS	1146				hypothetical protein
AIEECKCC_00277	CDS	1056				hypothetical protein
AIEECKCC_00278	CDS	1110			COG1073	putative protein
AIEECKCC_00279	CDS	537				hypothetical protein
AIEECKCC_00280	tRNA	86				tRNA-Ser(tga)
AIEECKCC_00281	CDS	2538	mutS2	3.1.-.-		Endonuclease MutS2
AIEECKCC_00282	CDS	1212	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
AIEECKCC_00283	CDS	504				hypothetical protein
AIEECKCC_00284	CDS	441				hypothetical protein
AIEECKCC_00285	CDS	1290	qseC	2.7.13.3		Sensor protein QseC
AIEECKCC_00286	CDS	678	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
AIEECKCC_00287	CDS	549				hypothetical protein
AIEECKCC_00288	CDS	450				hypothetical protein
AIEECKCC_00289	CDS	228				hypothetical protein
AIEECKCC_00290	CDS	480				hypothetical protein
AIEECKCC_00291	CDS	186				hypothetical protein
AIEECKCC_00292	CDS	231				hypothetical protein
AIEECKCC_00293	CDS	618				hypothetical protein
AIEECKCC_00294	CDS	1509				hypothetical protein
AIEECKCC_00295	CDS	687	ktrA		COG0569	Ktr system potassium uptake protein A
AIEECKCC_00296	CDS	1830				hypothetical protein
AIEECKCC_00297	CDS	105				hypothetical protein
AIEECKCC_00298	CDS	1368	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
AIEECKCC_00299	CDS	1668	clcA			H(+)/Cl(-) exchange transporter ClcA
AIEECKCC_00300	CDS	234				hypothetical protein
AIEECKCC_00301	CDS	1554				hypothetical protein
AIEECKCC_00302	CDS	861				hypothetical protein
AIEECKCC_00303	CDS	552				hypothetical protein
AIEECKCC_00304	CDS	1263				hypothetical protein
AIEECKCC_00305	CDS	351				hypothetical protein
AIEECKCC_00306	CDS	1029	hmuU_1		COG0609	Hemin transport system permease protein HmuU
AIEECKCC_00307	CDS	1134				hypothetical protein
AIEECKCC_00308	CDS	1101				hypothetical protein
AIEECKCC_00309	CDS	2016	btuB_3		COG4206	Vitamin B12 transporter BtuB
AIEECKCC_00310	CDS	282				hypothetical protein
AIEECKCC_00311	CDS	1233	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
AIEECKCC_00312	CDS	546				hypothetical protein
AIEECKCC_00313	CDS	1920	dnaK			Chaperone protein DnaK
AIEECKCC_00314	CDS	1407	mepA_1			Multidrug export protein MepA
AIEECKCC_00315	CDS	567				hypothetical protein
AIEECKCC_00316	CDS	792				hypothetical protein
AIEECKCC_00317	CDS	1194		1.5.1.43		Carboxynorspermidine synthase
AIEECKCC_00318	CDS	447	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
AIEECKCC_00319	CDS	1038	recA			Protein RecA
AIEECKCC_00320	CDS	711				hypothetical protein
AIEECKCC_00321	CDS	525				hypothetical protein
AIEECKCC_00322	CDS	516	sigJ			ECF RNA polymerase sigma factor SigJ
AIEECKCC_00323	CDS	345				hypothetical protein
AIEECKCC_00324	CDS	588				hypothetical protein
AIEECKCC_00325	CDS	312				hypothetical protein
AIEECKCC_00326	CDS	1023				hypothetical protein
AIEECKCC_00327	CDS	888	cysL		COG0583	HTH-type transcriptional regulator CysL
AIEECKCC_00328	CDS	597				hypothetical protein
AIEECKCC_00329	CDS	2595	clpB1		COG0542	Chaperone protein ClpB 1
AIEECKCC_00330	CDS	432				hypothetical protein
AIEECKCC_00331	CDS	609	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
AIEECKCC_00332	CDS	1017				hypothetical protein
AIEECKCC_00333	CDS	336				hypothetical protein
AIEECKCC_00334	CDS	927	nusB			Transcription antitermination protein NusB
AIEECKCC_00335	CDS	102				hypothetical protein
AIEECKCC_00336	CDS	375				hypothetical protein
AIEECKCC_00337	CDS	591	rplY			50S ribosomal protein L25
AIEECKCC_00338	CDS	564	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
AIEECKCC_00339	CDS	420	hslR		COG1188	Heat shock protein 15
AIEECKCC_00340	CDS	987		1.-.-.-		Oxidoreductase P35
AIEECKCC_00341	CDS	2271	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
AIEECKCC_00342	CDS	1149	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
AIEECKCC_00343	CDS	1041	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
AIEECKCC_00344	CDS	1293	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
AIEECKCC_00345	CDS	852	hisG	2.4.2.17		ATP phosphoribosyltransferase
AIEECKCC_00346	CDS	492				hypothetical protein
AIEECKCC_00347	CDS	1104				hypothetical protein
AIEECKCC_00348	CDS	663				hypothetical protein
AIEECKCC_00349	CDS	705	cat3	2.3.1.28		Chloramphenicol acetyltransferase 3
AIEECKCC_00350	CDS	2034	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
AIEECKCC_00351	CDS	309				hypothetical protein
AIEECKCC_00352	CDS	612	udk_1	2.7.1.48	COG0572	Uridine kinase
AIEECKCC_00353	CDS	1419	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
AIEECKCC_00354	CDS	2766	metH_1	2.1.1.13	COG0646	Methionine synthase
AIEECKCC_00355	CDS	453	smpB		COG0691	SsrA-binding protein
AIEECKCC_00356	CDS	573				hypothetical protein
AIEECKCC_00357	CDS	873				hypothetical protein
AIEECKCC_00358	CDS	1149				hypothetical protein
AIEECKCC_00359	CDS	423				hypothetical protein
AIEECKCC_00360	CDS	1686				hypothetical protein
AIEECKCC_00361	CDS	498				hypothetical protein
AIEECKCC_00362	CDS	702				hypothetical protein
AIEECKCC_00363	CDS	1011				hypothetical protein
AIEECKCC_00364	CDS	1038	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
AIEECKCC_00365	CDS	798	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
AIEECKCC_00366	CDS	2688				hypothetical protein
AIEECKCC_00367	CDS	414				hypothetical protein
AIEECKCC_00368	CDS	1926				hypothetical protein
AIEECKCC_00369	CDS	963				hypothetical protein
AIEECKCC_00370	CDS	603		2.3.1.-		Putative acetyltransferase
AIEECKCC_00371	CDS	576				hypothetical protein
AIEECKCC_00372	CDS	141				hypothetical protein
AIEECKCC_00373	CDS	1638				hypothetical protein
AIEECKCC_00374	CDS	1134				hypothetical protein
AIEECKCC_00375	CDS	1164				hypothetical protein
AIEECKCC_00376	CDS	2739				hypothetical protein
AIEECKCC_00377	CDS	684				hypothetical protein
AIEECKCC_00378	CDS	126				hypothetical protein
AIEECKCC_00379	CDS	375	yccF		COG3304	Inner membrane protein YccF
AIEECKCC_00380	CDS	1074	dinB	2.7.7.7	COG0389	DNA polymerase IV
AIEECKCC_00381	CDS	1347	mepA_2		COG0534	Multidrug export protein MepA
AIEECKCC_00382	CDS	1089	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
AIEECKCC_00383	CDS	795	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
AIEECKCC_00384	CDS	1428				hypothetical protein
AIEECKCC_00385	CDS	555				hypothetical protein
AIEECKCC_00386	CDS	1941	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
AIEECKCC_00387	CDS	435				hypothetical protein
AIEECKCC_00388	CDS	1641				hypothetical protein
AIEECKCC_00389	CDS	798	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
AIEECKCC_00390	CDS	486				hypothetical protein
AIEECKCC_00391	CDS	2829	nagZ_2	3.2.1.52		Beta-hexosaminidase
